date_month,overnights,temp_mean_C,precip_sum_mm
2005-01-01,174668,0.0,46.1
2005-02-01,60606,-1.1,46.2
2005-03-01,80494,5.6,51.9
2005-04-01,98018,9.8,159.4
2005-05-01,136247,14.2,122.3
2005-06-01,165223,18.9,100.5
2005-07-01,183195,18.9,181.5
2005-08-01,182344,16.5,325.0
2005-09-01,163072,15.9,87.8
2005-11-01,83345,4.2,36.4
2005-12-01,79900,0.1,32.1
2006-01-01,213880,-1.5,13.6
2006-02-01,74253,0.8,41.6
2006-03-01,93279,3.7,151.9
2006-04-01,117811,9.0,209.9
2006-05-01,149663,13.8,221.0
2006-06-01,174980,18.2,84.1
2006-07-01,199663,22.8,67.8
2006-08-01,199148,15.4,247.9
2006-09-01,179825,17.2,136.0
2006-11-01,90380,6.6,42.7
2006-12-01,96158,2.2,71.7
2007-01-01,230200,4.0,47.2
2007-02-01,86406,4.3,61.9
2007-03-01,109373,5.9,104.0
2007-04-01,133645,13.7,20.1
2007-05-01,158051,15.2,202.8
2007-06-01,194129,17.5,209.1
2007-07-01,218608,18.1,246.3
2007-08-01,213899,17.5,242.2
2007-09-01,183670,13.7,87.7
2007-11-01,101120,3.4,50.7
2007-12-01,109152,1.4,84.4
2008-01-01,231276,2.3,48.7
2008-02-01,89853,2.9,52.3
2008-03-01,111936,5.5,68.7
2008-04-01,127541,8.5,145.1
2008-05-01,183642,15.8,20.4
2008-06-01,180088,17.7,140.8
2008-07-01,217765,18.8,229.0
2008-08-01,220905,18.1,205.1
2008-09-01,185269,13.1,196.0
2008-11-01,103711,4.5,34.3
2008-12-01,102378,0.9,56.9
2009-01-01,224617,-1.3,34.0
2009-02-01,87588,0.7,58.3
2009-03-01,99775,4.8,76.9
2009-04-01,120171,12.0,27.7
2009-05-01,155267,16.0,76.7
2009-06-01,163309,16.9,215.6
2009-07-01,200125,19.1,193.8
2009-08-01,208682,20.1,134.3
2009-09-01,177738,16.0,42.8
2009-11-01,94551,6.9,125.4
2009-12-01,108730,1.1,117.1
2010-01-01,233443,-1.3,47.2
2010-02-01,95700,1.1,39.7
2010-03-01,112823,5.0,43.2
2010-04-01,120772,10.4,26.3
2010-05-01,164748,12.3,178.7
2010-06-01,191559,17.3,148.2
2010-07-01,219842,20.3,256.5
2010-08-01,209323,17.6,242.8
2010-09-01,194460,13.7,158.9
2010-11-01,101009,5.4,43.9
2010-12-01,101874,-0.9,121.2
2011-01-01,228862,1.3,62.4
2011-02-01,89779,2.7,45.7
2011-03-01,118136,6.5,48.1
2011-04-01,135427,12.8,26.0
2011-05-01,165986,15.5,171.7
2011-06-01,194033,17.1,113.0
2011-07-01,211014,17.0,169.4
2011-08-01,199864,19.7,131.7
2011-09-01,182161,16.7,124.7
2011-11-01,103639,5.2,0.0
2011-12-01,105616,3.8,139.6
2012-01-01,248485,2.7,75.2
2012-02-01,82698,-2.9,12.4
2012-03-01,116028,7.6,44.3
2012-04-01,130702,9.4,101.5
2012-05-01,179382,14.8,111.6
2012-06-01,187228,18.2,151.6
2012-07-01,198549,18.7,86.8
2012-08-01,207030,19.9,251.6
2012-09-01,186761,14.6,110.8
2012-11-01,109162,5.9,115.9
2012-12-01,111484,1.7,110.2
2013-01-01,238528,1.0,72.4
2013-02-01,92837,-0.6,78.0
2013-03-01,118086,3.3,70.5
2013-04-01,137219,9.5,83.4
2013-05-01,178174,11.7,201.0
2013-06-01,201238,16.6,109.1
2013-07-01,218538,20.9,103.8
2013-08-01,226079,19.0,112.3
2013-09-01,191908,15.2,133.7
2013-11-01,112511,4.7,120.3
2013-12-01,114126,1.1,32.0
2014-01-01,264317,3.0,54.5
2014-02-01,88670,4.2,73.4
2014-03-01,116052,7.3,37.4
2014-04-01,142587,11.4,130.2
2014-05-01,186598,13.2,148.8
2014-06-01,207219,18.3,165.9
2014-07-01,228187,18.2,276.8
2014-08-01,244846,16.9,217.0
2014-09-01,197027,15.7,66.3
2014-11-01,118691,6.9,89.4
2014-12-01,125708,2.9,56.0
2015-01-01,275375,2.1,92.5
2015-02-01,110521,0.1,33.4
2015-03-01,122837,6.6,71.0
2015-04-01,148360,10.5,113.4
2015-05-01,195670,14.5,218.6
2015-06-01,222370,18.7,180.5
2015-07-01,252513,22.6,74.7
2015-08-01,249598,20.4,100.5
2015-09-01,210633,13.5,54.6
2015-11-01,118269,7.2,79.6
2015-12-01,124073,3.5,37.5
2016-01-01,271644,3.1,91.5
2016-02-01,110969,4.3,104.4
2016-03-01,135809,5.2,40.6
2016-04-01,150294,9.6,159.2
2016-05-01,203014,13.2,270.5
2016-06-01,213960,17.0,208.8
2016-07-01,239358,20.1,176.2
2016-08-01,242116,19.1,128.9
2016-09-01,208685,16.8,78.3
2016-11-01,122075,5.2,74.1
2016-12-01,123734,0.9,0.9
2017-01-01,291807,-2.2,76.0
2017-02-01,108673,3.8,83.9
2017-03-01,125922,8.8,92.9
2017-04-01,162620,9.3,140.3
2017-05-01,203868,15.0,112.6
2017-06-01,228088,20.2,102.7
2017-07-01,251083,19.6,135.3
2017-08-01,253869,19.6,152.2
2017-09-01,219559,13.3,89.2
2017-11-01,125312,4.8,95.3
2017-12-01,134542,1.6,109.6
2018-01-01,294310,5.2,107.0
2018-02-01,111980,-0.6,78.2
2018-03-01,135968,4.0,92.0
2018-04-01,166169,13.3,39.0
2018-05-01,212087,15.6,134.5
2018-06-01,238488,19.2,78.0
2018-07-01,260918,21.6,61.2
2018-08-01,261390,20.9,152.7
2018-09-01,223598,16.6,138.3
2018-11-01,129907,6.1,15.4
2018-12-01,139988,4.1,112.6
2019-01-01,301206,0.7,43.1
2019-02-01,111243,3.3,55.1
2019-03-01,136992,7.4,43.2
2019-04-01,172777,9.5,78.7
2019-05-01,216429,11.4,164.0
2019-06-01,245703,20.1,74.9
2019-07-01,261334,21.3,147.1
2019-08-01,262832,19.2,158.1
2019-09-01,227107,15.6,78.7
2019-11-01,137244,5.8,84.5
2019-12-01,144952,4.1,52.4
2020-01-01,232712,2.2,37.9
2020-02-01,102266,6.4,92.0
2020-03-01,45590,6.1,66.6
2020-04-01,14527,12.9,29.6
2020-05-01,37437,14.4,135.5
2020-06-01,70795,16.9,218.0
2020-07-01,154170,20.1,142.8
2020-08-01,161674,19.6,218.6
2020-09-01,132142,16.4,43.2
2020-11-01,56651,5.9,30.0
2020-12-01,47452,2.3,93.2
2021-01-01,187208,1.2,118.9
2021-02-01,50338,3.6,49.6
2021-03-01,63050,5.7,69.4
2021-04-01,112069,8.4,66.5
2021-05-01,126209,11.3,175.2
2021-06-01,110480,19.2,173.1
2021-07-01,157192,18.3,319.5
2021-08-01,203457,17.7,141.3
2021-09-01,171630,16.4,70.0
2021-11-01,105640,4.4,33.9
2021-12-01,86197,2.5,105.1
2022-01-01,262900,1.5,39.7
2022-02-01,80820,4.6,72.9
2022-03-01,112466,7.1,27.2
2022-04-01,146716,9.7,77.2
2022-05-01,183803,16.4,84.7
2022-06-01,215804,19.8,169.2
2022-07-01,249338,,
2022-08-01,252017,,
2022-09-01,224748,,
2022-11-01,134795,,
2022-12-01,144464,,
2023-01-01,323405,,
2023-02-01,119167,,
2023-03-01,147713,,
2023-04-01,178872,,
2023-05-01,224211,,
2023-06-01,254252,,
2023-07-01,269349,,
2023-08-01,263285,,
2023-09-01,248381,,
2023-11-01,146602,,
2023-12-01,149121,,
2024-01-01,329282,,
2024-02-01,123527,,
2024-03-01,154399,,
2024-04-01,187789,,
2024-05-01,247029,,
2024-06-01,270917,,
2024-07-01,275977,,
2024-08-01,277214,,
2024-09-01,247962,,
2024-11-01,154054,,
2024-12-01,163755,,
